Award ID,Award Title,Award Status,Activation/Begin Date,Proposal ID,PI Name,Responsible Dept ID,Responsible Dept Name,Funding Source,CFDA Num,Sponsor,Flow-Thru Sponsor,Project Number,Funding Dept ID,Fund Code,Distribution Dept Name,Dept %,Awarded Direct,Awarded Indirect,Awarded Total,Co-PI Name List,Distribution College,Distribution Dept ID,End Date
0000003507,Gadsden Resource Mothers Program,Active,2000-07-01,FP00004527,"Graham,Mimi",157000,Ctr for Prev & Early Intervent,State,-,Florida Legislature,-,007766,157000,530,Ctr for Prev & Early Intervent,100,2548000,0,2548000,,Provost & VP Academic Affairs,157000,2023-12-31 00:00:00
0000004022,Spectroscopy of Resonances in the Astrophysical rp,Active,2002-07-15,0000004022,"Wiedenhoever,Ingo Ludwig M",084009,Physics Sponsored Projects,Federal,81.049,U. S. Department of Energy,-,009248,084009,520,Physics Sponsored Projects,100,287812,51188,339000,,College of Arts & Sciences,084009,2020-07-14 00:00:00
0000004022,Spectroscopy of Resonances in the Astrophysical rp,Active,2002-07-15,0000004022,"Wiedenhoever,Ingo Ludwig M",084009,Physics Sponsored Projects,Federal,81.049,U. S. Department of Energy,-,024879,084009,520,Physics Sponsored Projects,100,602872,130128,733000,,College of Arts & Sciences,084009,2020-07-14 00:00:00
0000004919,Infant Mental Health Training Program,Active,2003-10-01,0000004919,"Graham,Mimi",157000,Ctr for Prev & Early Intervent,Other,-,Irving Harris Foundation,-,010463,157000,540,Ctr for Prev & Early Intervent,100,2530001,0,2530001,,Provost & VP Academic Affairs,157000,2022-06-30 00:00:00
0000005430,Nature Conservancy Donation to FNAI Program within,Active,2001-07-02,0000005430,"Price,Franklin D",148000,FL Natural Areas Inventory,Other,-,The Nature Conservancy,-,013141,148000,545,FL Natural Areas Inventory,100,438687,0,438687,,Provost & VP Academic Affairs,148000,2025-12-31 00:00:00
0000005474,Construction of Interactive Tutorials,Active,2000-03-31,0000005474,"Clark,Eric L",227000,Natl High Magnetic Field Lab,Other,-,Various DFPO,-,013185,227000,545,Natl High Magnetic Field Lab,100,6160079,0,6160079,,VP Research,227000,2024-12-31 00:00:00
0000006756,Various Source,Active,1994-05-26,0000006756,"Williams,Michael S",013000,Business Services,Other,-,Various DNPO,-,014404,010000,545,VP Finance & Administration,100,548137,0,548136,,VP Finance & Administration,010000,2024-05-25 00:00:00
0000008897,Microwave/Rf Spectroscopy of 2D Solids/Stripes,Active,2005-07-01,0000008897,"Engel,Lloyd W",227000,Natl High Magnetic Field Lab,Federal,81.049,U. S. Department of Energy,-,016578,227000,140,Natl High Magnetic Field Lab,100,12000,0,12000,,VP Research,227000,2023-04-30 00:00:00
0000008897,Microwave/Rf Spectroscopy of 2D Solids/Stripes,Active,2005-07-01,0000008897,"Engel,Lloyd W",227000,Natl High Magnetic Field Lab,Federal,81.049,U. S. Department of Energy,-,016578,227000,520,Natl High Magnetic Field Lab,100,199239,80525,279764,,VP Research,227000,2023-04-30 00:00:00
0000008897,Microwave/Rf Spectroscopy of 2D Solids/Stripes,Active,2005-07-01,0000008897,"Engel,Lloyd W",227000,Natl High Magnetic Field Lab,Federal,81.049,U. S. Department of Energy,-,024878,227000,110,Natl High Magnetic Field Lab,100,110843,0,110843,,VP Research,227000,2023-04-30 00:00:00
0000008897,Microwave/Rf Spectroscopy of 2D Solids/Stripes,Active,2005-07-01,0000008897,"Engel,Lloyd W",227000,Natl High Magnetic Field Lab,Federal,81.049,U. S. Department of Energy,-,024878,227000,520,Natl High Magnetic Field Lab,100,861250,454748,1315998,,VP Research,227000,2023-04-30 00:00:00
0000008897,Microwave/Rf Spectroscopy of 2D Solids/Stripes,Active,2005-07-01,0000008897,"Engel,Lloyd W",227000,Natl High Magnetic Field Lab,Federal,81.049,U. S. Department of Energy,-,024878,227000,555,Natl High Magnetic Field Lab,100,9000,0,9000,,VP Research,227000,2023-04-30 00:00:00
0000009502,Organizational Management Program,Active,2005-06-01,0000009502,"Jimenez-Lopez,Linda M",170001,FL Center for Public Managment,Other,-,Innovative Group T&D Inc,-,017225,170001,545,FL Center for Public Managment,100,120268,12027,132295,,College of Soc Sci & Pub Pol,170001,2025-12-31 00:00:00
0000013368,From Quarks to the Cosmos,Active,2007-03-15,0000013368,"Piekarewicz,Jorge",084009,Physics Sponsored Projects,Federal,81.049,U. S. Department of Energy,-,021209,084009,520,Physics Sponsored Projects,100,1230091,518909,1749000,"Capstick, Simon; Volya, Alexander",College of Arts & Sciences,084009,2023-11-15 00:00:00
